id,symbol,company_name,security_type,event_start_date,event_end_date,peak_date,price_start,price_peak,price_end_3d,return_1d_pct,return_3d_pct,return_peak_pct,label_a,label_b,day_after_continuation,volume_event_day,volume_avg_20d_pre,volume_ratio,shares_outstanding,float_shares,market_cap_pre,short_interest_shares,short_pct_float,days_to_cover,sector,industry,exchange,ipo_date,days_since_ipo,catalyst_summary,news_count_event_day,options_available,iv_pre_event,call_oi_pre,put_oi_pre,taxonomy_bucket,taxonomy_confidence,taxonomy_notes,data_source,created_at
53,BKKT,"Bakkt, Inc.",common,2024-11-15T00:00:00,2024-11-20T00:00:00,2024-11-19T00:00:00,11.32,37.21,31.61,7.15,179.24,228.71,1,0,0.0,4696400.0,169625.0,27.69,30562096.0,28695974.0,345962926.72,3901087.0,0.1867,2.81,Technology,Software - Infrastructure,NYQ,,,"De-SPAC pop, Mastercard partnership rumors",,1,,,,spac_despac,0.9,"Seed list: De-SPAC pop, Mastercard partnership rumors",yfinance,2026-03-26T20:29:16.063354
23,BBIG,"Vinco Ventures, Inc.",common,2021-08-26T00:00:00,2021-08-31T00:00:00,2021-08-30T00:00:00,39.8602,136.0417,110.8739,15.44,178.16,241.3,1,0,1.0,13940447.0,567294.25,24.57,13000000.0,11665321.0,518182600.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967215
61,ISPC,iSpecimen Inc.,common,2021-11-18T00:00:00,2021-11-23T00:00:00,2021-11-23T00:00:00,96.4,370.0,263.8,48.54,173.65,283.82,1,0,0.0,1993505.0,3551.0,561.39,9771016.0,9770833.0,941925942.4000001,3073818.0,0.3146,0.18,Healthcare,Diagnostics & Research,NCM,,,"Low float squeeze, COVID testing demand",,0,,,,short_squeeze,0.9,"Seed list: Low float squeeze, COVID testing demand",yfinance,2026-03-26T20:29:16.523504
58,GME,GameStop Corp.,common,2024-05-09T00:00:00,2024-05-14T00:00:00,2024-05-14T00:00:00,18.01,64.83,48.75,60.1,170.68,259.97,1,0,0.0,206979100.0,9879090.0,20.95,448009480.0,408196259.0,8068650734.800001,64227044.0,0.157,12.79,Consumer Cyclical,Specialty Retail,NYQ,,,"WSB-driven short squeeze, 140%+ SI, Melvin Capital",,1,,,,short_squeeze,0.9,"Seed list: WSB-driven short squeeze, 140%+ SI, Melvin Capital",yfinance,2026-03-26T20:29:16.365156
76,PRST,Presto Automation Inc.,common,2023-04-12T00:00:00,2023-04-17T00:00:00,2023-04-17T00:00:00,1.345,5.2,3.62,160.43,169.14,286.62,1,0,0.0,111443489.0,79466.75,1402.39,418519281.0,105706246.0,562908432.9449999,1820791.0,0.0138,0.08,Technology,Software - Application,PNK,,,"AI restaurant tech, low float squeeze",,0,,,,penny_stock_pump,0.9,"Seed list: AI restaurant tech, low float squeeze",yfinance,2026-03-26T20:29:17.173185
27,BBIG,"Vinco Ventures, Inc.",common,2023-10-30T00:00:00,2023-11-02T00:00:00,2023-11-01T00:00:00,0.023,0.1,0.06,275.0,160.87,334.78,1,0,0.0,2742.0,18045.95,0.15,13000000.0,11665321.0,299000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967218
74,OCGN,"Ocugen, Inc.",common,2020-07-23T00:00:00,2020-07-28T00:00:00,2020-07-28T00:00:00,0.284,0.958,0.72,14.65,153.52,237.32,1,0,0.0,301529400.0,24877835.0,12.12,327897296.0,322887025.0,93122832.064,52358943.0,0.162,5.78,Healthcare,Biotechnology,NCM,,,Covaxin partnership with Bharat Biotech,,1,,,,biotech_catalyst,0.9,Seed list: Covaxin partnership with Bharat Biotech,yfinance,2026-03-26T20:29:17.018725
40,BBIG,"Vinco Ventures, Inc.",common,2024-11-26T00:00:00,2024-12-02T00:00:00,2024-11-27T00:00:00,0.0004,0.001,0.001,150.0,150.0,150.0,1,0,0.0,2271.0,4727.35,0.48,13000000.0,11665321.0,5200.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967225
90,SAVA,Cassava Sciences Inc,common,2020-09-09T00:00:00,2020-09-14T00:00:00,2020-09-14T00:00:00,3.23,8.41,7.75,133.43,139.94,160.37,1,0,0.0,175097198.0,1591483.65,110.02,48307896.0,42984366.0,156034504.08,7120771.0,0.1489,9.4,Healthcare,Biotechnology,NCM,2000-07-14T13:30:00,7361.0,"Alzheimer's drug data, simufilam",,0,,,,biotech_catalyst,0.9,"Seed list: Alzheimer's drug data, simufilam",yfinance,2026-03-26T20:29:17.326947
89,SAVA,Cassava Sciences Inc,common,2019-12-19T00:00:00,2019-12-24T00:00:00,2019-12-24T00:00:00,1.9,4.95,4.55,26.74,139.47,160.53,1,0,0.0,19722908.0,2518409.95,7.83,48307896.0,42984366.0,91785002.39999999,7120771.0,0.1489,9.4,Healthcare,Biotechnology,NCM,2000-07-14T13:30:00,7096.0,"Alzheimer's drug data, simufilam",,0,,,,biotech_catalyst,0.9,"Seed list: Alzheimer's drug data, simufilam",yfinance,2026-03-26T20:29:17.326943
